fluences (n/cm^2),Is,n
404000000000,1.393769132284331e-15,2.045270427325544
433000000000,1.001840776098382e-15,1.796612713826829
464000000000,1.171164910244713e-15,1.741499162355707
498000000000,1.411157793554789e-15,1.716642085005223
534000000000,1.677453786581318e-15,1.702700634517458
572000000000,1.979360312635712e-15,1.693235863845587
614000000000,2.299809940068087e-15,1.68722863852899
658000000000,2.646035778536696e-15,1.682741329502375
705000000000,3.01578441253152e-15,1.679149404653126
756000000000,3.422372260980872e-15,1.676755167056303
811000000000,3.84066606266433e-15,1.674841489274248
870000000000,4.299630840063883e-15,1.673267714174634
933000000000,4.789391373770372e-15,1.672120221920214
1000000000000,5.302046560052044e-15,1.671129448359186
1070000000000,5.86591173409469e-15,1.670435961471356
1150000000000,6.45198194885558e-15,1.669846964977762
1230000000000,7.096956669553365e-15,1.669572547733069
1320000000000,7.790773074631455e-15,1.66927254210056
1420000000000,8.511030471869421e-15,1.669209176203374
1520000000000,9.281089246587434e-15,1.669162225092937
1630000000000,1.011075101124806e-14,1.669250197376839
1750000000000,1.099799227652488e-14,1.669410375681111
1870000000000,1.194543873038078e-14,1.669661914923581
2010000000000,1.295073394081488e-14,1.669980220723008
2150000000000,1.409957074444447e-14,1.670407442332254
2310000000000,1.521703091258019e-14,1.670811350763802
2480000000000,1.6490824777787e-14,1.671330278807144
2660000000000,1.782532081553387e-14,1.671921636714705
2850000000000,1.920103790636682e-14,1.672523956977573
3050000000000,2.076541017062762e-14,1.673208383818829
3270000000000,2.237221036415392e-14,1.673930272741736
3510000000000,2.420556297977298e-14,1.674747316974872
3760000000000,2.606945077573288e-14,1.675585213711922
4040000000000,2.819496803044327e-14,1.676502397622313
4330000000000,3.032551698507575e-14,1.677432041177519
4640000000000,3.275557848113925e-14,1.678453560653192
4980000000000,3.509272458027775e-14,1.679429516644021
5340000000000,3.774052435859763e-14,1.680484372910486
5720000000000,4.06044523119791e-14,1.681585080745544
6140000000000,4.370470949452987e-14,1.682755763522156
6580000000000,4.697371660749368e-14,1.683940970928852
7050000000000,5.054935194657763e-14,1.685179285342828
7560000000000,5.428685740843288e-14,1.686435392232561
8110000000000,5.83480355955999e-14,1.687739765353977
8700000000000,6.276214727895366e-14,1.689100710402545
9330000000000,6.741570887835279e-14,1.690473935661296
10000000000000,7.242934791355106e-14,1.691884924298557
10700000000000,7.781407207489915e-14,1.693327320400602
11500000000000,8.357728494203733e-14,1.69479966593353
12300000000000,8.994272104410542e-14,1.696338392253633
13200000000000,9.645771088857719e-14,1.697830954983748
14200000000000,1.035998197583834e-13,1.69938429738046
15200000000000,1.114404387540641e-13,1.701000479724166
16300000000000,1.196519455156653e-13,1.702596161422433
17500000000000,1.286027115669335e-13,1.704236100431896
18700000000000,1.378373023388762e-13,1.705831849081266
20100000000000,1.483880421218539e-13,1.707551851242769
21500000000000,1.591753265575538e-13,1.709202404949098
23100000000000,1.707476701465947e-13,1.710872161802798
24800000000000,1.83100998294978e-13,1.712544541797783
26600000000000,1.972238906345467e-13,1.714334647151749
28500000000000,2.112079240346187e-13,1.71599907849502
30500000000000,2.27148930447644e-13,1.717772065626136
32700000000000,2.439838551294218e-13,1.719525381106611
35100000000000,2.61581744009403e-13,1.72123933555868
37600000000000,2.79751518779466e-13,1.72289586416847
40400000000000,3.004170070961463e-13,1.724655409512062
43300000000000,3.241303110253588e-13,1.726537923953653
46400000000000,3.457525177031425e-13,1.728138072003215
49800000000000,3.702259703816131e-13,1.729832187947826
53400000000000,3.981388274811665e-13,1.731631109386919
57200000000000,4.259797820503017e-13,1.733303094274559
61400000000000,4.576853671018688e-13,1.73507511437044
65800000000000,4.940948456720263e-13,1.736958509626848
70500000000000,5.27979328322131e-13,1.738587357185182
75600000000000,5.657554367670347e-13,1.740277757673684
81100000000000,6.072670874963763e-13,1.742002117359002
87000000000000,6.511036922214388e-13,1.743692906699959
93300000000000,6.980398730466813e-13,1.745372171580032
100000000000000,7.480791508181291e-13,1.747034065712423
