fluences (n/cm^2),Is_1,n_1,Is_2,n_2
404000000000,7.24691172e-16,1.8642153,1.1404643e-13,3.82500917
433000000000,1.25906892e-15,1.85152449,1.81418815e-16,1.55267672
464000000000,1.84497725e-15,1.84784038,9.3483438e-17,1.4212953
498000000000,2.4559846e-15,1.84431539,8.48834416e-17,1.37670108
534000000000,3.14604276e-15,1.84700136,8.78808746e-17,1.35461464
572000000000,3.80733269e-15,1.84189609,9.53117076e-17,1.34082298
614000000000,4.54984001e-15,1.84189999,1.04819355e-16,1.33203457
658000000000,5.33988942e-15,1.84148931,1.16071718e-16,1.32578426
705000000000,6.15017944e-15,1.8397788,1.28806432e-16,1.32116881
756000000000,7.05090164e-15,1.83945308,1.42939065e-16,1.31769125
811000000000,8.01000846e-15,1.84022477,1.57895616e-16,1.31510793
870000000000,9.02030387e-15,1.8397912,1.74603045e-16,1.31304986
933000000000,1.00906093e-14,1.83941999,1.92566754e-16,1.31146538
1000000000000,1.1249748e-14,1.84000125,2.11724253e-16,1.31025581
1070000000000,1.24402144e-14,1.83903433,2.32865596e-16,1.30931138
1150000000000,1.37370714e-14,1.83929276,2.55185171e-16,1.30862647
1230000000000,1.50981402e-14,1.83875826,2.79671064e-16,1.30813474
1320000000000,1.66323247e-14,1.83928331,3.06518435e-16,1.30781186
1420000000000,1.81450203e-14,1.83884666,3.34390774e-16,1.30765018
1520000000000,1.9801979e-14,1.83899098,3.64644064e-16,1.30762106
1630000000000,2.15743111e-14,1.83911988,3.97406018e-16,1.30771173
1750000000000,2.34712983e-14,1.83937766,4.32781077e-16,1.30791121
1870000000000,2.54674322e-14,1.83942042,4.70840369e-16,1.30821043
2010000000000,2.75920573e-14,1.83964045,5.11590194e-16,1.3085993
2150000000000,2.99434003e-14,1.83936458,5.58557625e-16,1.3091102
2310000000000,3.22359041e-14,1.83920414,6.04876984e-16,1.30965749
2480000000000,3.48966509e-14,1.83957716,6.58081932e-16,1.31032089
2660000000000,3.76039616e-14,1.83952416,7.14270836e-16,1.31104631
2850000000000,4.04302361e-14,1.83979298,7.72907774e-16,1.31181807
3050000000000,4.35596031e-14,1.83966117,8.40382178e-16,1.31271346
3270000000000,4.68322163e-14,1.84002371,9.1038047e-16,1.31364138
