fluences (n/cm^2),Is,n
403702000000,1.06991081e-14,1.38668718
432876000000,1.16957528e-14,1.38795549
464159000000,1.27492733e-14,1.38924607
497702000000,1.39682219e-14,1.39068037
533670000000,1.51166471e-14,1.39197862
572237000000,1.65899067e-14,1.39357531
613591000000,1.79517324e-14,1.39498846
657933000000,1.95140835e-14,1.39654216
705480000000,2.13227012e-14,1.39825898
756463000000,2.31542077e-14,1.39991669
811131000000,2.52732212e-14,1.4017433
869749000000,2.73706994e-14,1.40346448
932603000000,2.99620031e-14,1.40548411
1000000000000,3.25994004e-14,1.40743137
1072270000000,3.54898658e-14,1.40945389
1149760000000,3.86507495e-14,1.41154689
1232850000000,4.20967159e-14,1.4137034
1321940000000,4.58379108e-14,1.41591385
1417470000000,4.98775849e-14,1.41816572
1519910000000,5.43319397e-14,1.42050573
1629750000000,5.92390018e-14,1.42293109
1747530000000,6.44704398e-14,1.42536254
1873820000000,7.036615e-14,1.42793606
2009230000000,7.65893015e-14,1.43048527
2154430000000,8.35717343e-14,1.43316763
2310130000000,9.11279734e-14,1.43588624
2477080000000,9.9245526e-14,1.43862179
2656090000000,1.08290776e-13,1.44147444
2848040000000,1.18383306e-13,1.44444731
3053860000000,1.29105225e-13,1.44739639
3274550000000,1.40972532e-13,1.45044431
3511190000000,1.53356043e-13,1.45341608
3764940000000,1.6773253e-13,1.4566363
4037020000000,1.82572528e-13,1.45973754
4328760000000,1.99812624e-13,1.46309695
4641590000000,2.17322157e-13,1.46627898
4977020000000,2.37627531e-13,1.46972085
5336700000000,2.59570102e-13,1.4731837
5722370000000,2.83085655e-13,1.4766421
6135910000000,3.10477935e-13,1.48038977
6579330000000,3.36952198e-13,1.48376622
7054800000000,3.7082414e-13,1.48778688
7564630000000,4.03095228e-13,1.49135051
8111310000000,4.4044326e-13,1.49519808
8697490000000,4.78865354e-13,1.49889088
9326030000000,5.23338373e-13,1.50287829
10000000000000,5.75293888e-13,1.50720495
10722700000000,6.2837189e-13,1.51131214
11497600000000,6.80840229e-13,1.51510711
12328500000000,7.45522887e-13,1.51947568
13219400000000,8.14951799e-13,1.52383971
14174700000000,8.88679205e-13,1.52816045
15199100000000,9.71023977e-13,1.53266108
16297500000000,1.05920826e-12,1.53715639
17475300000000,1.15495791e-12,1.5417132
18738200000000,1.26101447e-12,1.54642431
20092300000000,1.3754111e-12,1.55116771
21544300000000,1.50141896e-12,1.55604597
23101300000000,1.64002149e-12,1.56105384
24770800000000,1.78735308e-12,1.56602605
26560900000000,1.95310974e-12,1.57125099
28480400000000,2.12733762e-12,1.57638273
30538600000000,2.32232664e-12,1.5817518
32745500000000,2.53245488e-12,1.58715907
35111900000000,2.76718602e-12,1.59280249
37649400000000,3.01817669e-12,1.59844038
40370200000000,3.29723303e-12,1.60429752
43287600000000,3.59186815e-12,1.61007904
46415900000000,3.91650507e-12,1.61603873
49770200000000,4.27382454e-12,1.62217133
53367000000000,4.66645693e-12,1.6284675
57223700000000,5.09683122e-12,1.63491275
61359100000000,5.56696196e-12,1.64148628
65793300000000,6.1177853e-12,1.64865832
70548000000000,6.67676714e-12,1.65543728
75646300000000,7.27667338e-12,1.66223367
81113100000000,7.97690257e-12,1.66962926
86974900000000,8.72873716e-12,1.67701855
93260300000000,9.6128904e-12,1.68508714
100000000000000,1.04592858e-11,1.69227392
