fluences (n/cm^2),Is_1,n_1,Is_2,n_2
403702000000,9.32157921e-15,1.50515276,6.81427924e-16,1.16301332
432876000000,1.00813406e-14,1.50543048,7.37775813e-16,1.16325651
464159000000,1.08705856e-14,1.50571235,7.96431411e-16,1.16350487
497702000000,1.17677796e-14,1.50603302,8.63214309e-16,1.16378196
533670000000,1.25979094e-14,1.50632125,9.25144108e-16,1.16403374
572237000000,1.36430358e-14,1.50667523,1.00328917e-15,1.16434469
613591000000,1.45913884e-14,1.50699569,1.07431666e-15,1.1646211
657933000000,1.56596474e-14,1.50735098,1.15448293e-15,1.16492632
705480000000,1.68714449e-14,1.50774091,1.24565953e-15,1.16526523
756463000000,1.80742325e-14,1.50812165,1.33635384e-15,1.16559414
811131000000,1.94379818e-14,1.5085467,1.43940125e-15,1.16595849
869749000000,2.07605298e-14,1.5089495,1.53957443e-15,1.16630371
932603000000,2.23604791e-14,1.50942703,1.66103938e-15,1.16671119
1000000000000,2.39536494e-14,1.50989171,1.78228972e-15,1.16710659
1072270000000,2.56625488e-14,1.51037833,1.91267158e-15,1.16751997
1149760000000,2.74910261e-14,1.51088682,2.05252631e-15,1.16795072
1232850000000,2.94413068e-14,1.51141804,2.20205091e-15,1.1683978
1321940000000,3.1511691e-14,1.51196509,2.36123559e-15,1.16885962
1417470000000,3.3699187e-14,1.51253354,2.5297876e-15,1.1693339
1519910000000,3.6057586e-14,1.51312876,2.71201685e-15,1.16983098
1629750000000,3.85978691e-14,1.51375479,2.90879744e-15,1.17035091
1747530000000,4.12460768e-14,1.51439183,3.11445878e-15,1.17087714
1873820000000,4.41633373e-14,1.51507407,3.34164693e-15,1.17143979
2009230000000,4.71737933e-14,1.51576015,3.57671617e-15,1.17200312
2154430000000,5.04766047e-14,1.51649457,3.83527669e-15,1.17260256
2310130000000,5.39706726e-14,1.51725125,4.10954997e-15,1.1732174
2477080000000,5.76409252e-14,1.51802412,4.39846576e-15,1.1738438
2656090000000,6.16407819e-14,1.51884546,4.71415447e-15,1.17450561
2848040000000,6.60031658e-14,1.51971575,5.05947218e-15,1.17520507
3053860000000,7.05352493e-14,1.52059653,5.41921162e-15,1.17590917
3274550000000,7.54416223e-14,1.52152398,5.80979437e-15,1.17664806
3511190000000,8.04517378e-14,1.52244509,6.20981292e-15,1.17737989
3764940000000,8.61445441e-14,1.52346481,6.6656323e-15,1.17818614
4037020000000,9.18963196e-14,1.52446689,7.12757825e-15,1.17897612
4328760000000,9.84379766e-14,1.52557568,7.65458684e-15,1.17984746
4641590000000,1.04944937e-13,1.52664876,8.18045187e-15,1.18068829
4977020000000,1.12337797e-13,1.52783448,8.7798649e-15,1.18161543
5336700000000,1.20163878e-13,1.52905516,9.41654592e-15,1.18256738
5722370000000,1.28384496e-13,1.5303014,1.00876881e-14,1.18353799
6135910000000,1.37769096e-13,1.53168303,1.08567405e-14,1.18461297
6579330000000,1.46667301e-13,1.53295692,1.15886398e-14,1.1856028
