Fluences (n/cm^2),Temperature (Celsius)
403851000000.0,25.364013999999997
432938000000.0,25.29091500000004
464079500000.0,25.214910999999972
497851000000.0,25.130176000000006
533835000000.0,25.04950100000002
572118500000.0,24.951544000000013
613795500000.0,24.859895999999992
657966500000.0,24.758200999999985
705240000000.0,24.644753999999978
756231500000.0,24.53017
811065500000.0,24.40382299999999
869874500000.0,24.27731600000004
932801500000.0,24.130251000000044
1000000000000.0,23.98187999999999
1071135000000.0,23.82236800000004
1149880000000.0,23.653167999999994
1231425000000.0,23.47228100000001
1320970000000.0,23.27914000000004
1418735000000.0,23.07715300000001
1519955000000.0,22.859748999999965
1629875000000.0,22.626152999999988
1748765000000.0,22.380933999999968
1871910000000.0,22.113493000000005
2009615000000.0,21.835167000000013
2152215000000.0,21.525873999999988
2310065000000.0,21.205896999999993
2478540000000.0,20.860667999999976
2658045000000.0,20.48792900000001
2849020000000.0,20.08571699999999
3051930000000.0,19.652805
3272275000000.0,19.18701500000003
3510595000000.0,18.687392999999986
3762470000000.0,18.127823999999976
4038510000000.0,17.522577000000013
4329380000000.0,16.827255999999977
4640795000000.0,16.037939999999992
4978510000000.0,14.926915000000008
5338350000000.0,-23.37519199999997
5721185000000.0,-34.84338700000001
6137955000000.0,-46.385125999999985
6579665000000.0,-56.146975000000026
7052400000000.0,-67.08114499999999
7562315000000.0,-76.15771699999999
8110655000000.0,-85.349545
8698745000000.0,-93.57877199999999
9328015000000.0,-101.84146700000002
10000000000000.0,-110.065887
10711350000000.0,-117.07085700000002
11498800000000.0,-122.637464
12314250000000.0,-126.430972
13209700000000.0,-129.022888
14187350000000.0,-131.49454
15199550000000.0,-134.055992
16298750000000.0,-136.88390800000002
17487650000000.0,-139.684257
18719100000000.0,-142.47029799999999
20096150000000.0,-145.159849
21522150000000.0,-147.805678
23100650000000.0,-150.397893
24785400000000.0,-152.851063
26580450000000.0,-155.30387100000002
28490200000000.0,-157.592826
30519300000000.0,-159.865614
32722750000000.0,-162.034057
35105950000000.0,-164.174446
37624700000000.0,-166.194009
40385100000000.0,-168.17334
43293800000000.0,-170.015218
46407950000000.0,-171.80431
49785100000000.0,-173.5365448
53383500000000.0,-175.2076914
57211850000000.0,-176.81341809999998
61379550000000.0,-178.349473
65796650000000.0,-179.9169993
70524000000000.0,-181.3025354
75623150000000.0,-182.6052104
81106550000000.0,-183.9320791
86987450000000.0,-185.1710572
93280150000000.0,-186.4332341
100000000000000.0,-187.4844509
