      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -1.00000000e+00    1.46370198e-01    1.64511523e-06    1.30781308e-07
  -9.99900000e-01    1.46370198e-01    1.64511285e-06    1.30774993e-07
  -9.99800000e-01    1.46370198e-01    1.64511045e-06    1.30768730e-07
  -9.99700000e-01    1.46370198e-01    1.64510806e-06    1.30762466e-07
  -9.99600000e-01    1.46370198e-01    1.64510567e-06    1.30756202e-07
  -9.99500000e-01    1.46370198e-01    1.64510327e-06    1.30749939e-07
  -9.99400000e-01    1.46370198e-01    1.64510088e-06    1.30743675e-07
  -9.99300000e-01    1.46370198e-01    1.64509848e-06    1.30737412e-07
  -9.99200000e-01    1.46370198e-01    1.64509609e-06    1.30731148e-07
  -9.99100000e-01    1.46370198e-01    1.64509369e-06    1.30724885e-07
  -9.99000000e-01    1.46370198e-01    1.64509130e-06    1.30718621e-07
  -9.98900000e-01    1.46370198e-01    1.64508890e-06    1.30712358e-07
  -9.98800000e-01    1.46370198e-01    1.64508651e-06    1.30706095e-07
  -9.98700000e-01    1.46370198e-01    1.64508411e-06    1.30699831e-07
  -9.98600000e-01    1.46370198e-01    1.64508172e-06    1.30693568e-07
  -9.98500000e-01    1.46370198e-01    1.64507933e-06    1.30687305e-07
  -9.98400000e-01    1.46370198e-01    1.64507693e-06    1.30681041e-07
  -9.98300000e-01    1.46370198e-01    1.64507454e-06    1.30674778e-07
  -9.98200000e-01    1.46370198e-01    1.64507214e-06    1.30668515e-07
  -9.98100000e-01    1.46370198e-01    1.64506975e-06    1.30662252e-07
  -9.98000000e-01    1.46370198e-01    1.64506735e-06    1.30655988e-07
  -9.97900000e-01    1.46370198e-01    1.64506496e-06    1.30649725e-07
  -9.97800000e-01    1.46370198e-01    1.64506257e-06    1.30643462e-07
  -9.97700000e-01    1.46370198e-01    1.64506017e-06    1.30637199e-07
  -9.97600000e-01    1.46370198e-01    1.64505778e-06    1.30630936e-07
  -9.97500000e-01    1.46370198e-01    1.64505538e-06    1.30624673e-07
  -9.97400000e-01    1.46370198e-01    1.64505299e-06    1.30618410e-07
  -9.97300000e-01    1.46370198e-01    1.64505059e-06    1.30612147e-07
  -9.97200000e-01    1.46370198e-01    1.64504820e-06    1.30605883e-07
  -9.97100000e-01    1.46370198e-01    1.64504581e-06    1.30599620e-07
  -9.97000000e-01    1.46370198e-01    1.64504341e-06    1.30593358e-07
  -9.96900000e-01    1.46370198e-01    1.64504102e-06    1.30587095e-07
  -9.96800000e-01    1.46370198e-01    1.64503862e-06    1.30580832e-07
  -9.96700000e-01    1.46370198e-01    1.64503623e-06    1.30574569e-07
  -9.96600000e-01    1.46370198e-01    1.64503383e-06    1.30568306e-07
  -9.96500000e-01    1.46370198e-01    1.64503144e-06    1.30562043e-07
  -9.96400000e-01    1.46370198e-01    1.64502905e-06    1.30555780e-07
  -9.96300000e-01    1.46370198e-01    1.64502665e-06    1.30549517e-07
  -9.96200000e-01    1.46370198e-01    1.64502426e-06    1.30543254e-07
  -9.96100000e-01    1.46370198e-01    1.64502186e-06    1.30536992e-07
  -9.96000000e-01    1.46370198e-01    1.64501947e-06    1.30530729e-07
  -9.95900000e-01    1.46370198e-01    1.64501707e-06    1.30524466e-07
  -9.95800000e-01    1.46370198e-01    1.64501468e-06    1.30518203e-07
  -9.95700000e-01    1.46370198e-01    1.64501229e-06    1.30511941e-07
  -9.95600000e-01    1.46370198e-01    1.64500989e-06    1.30505678e-07
  -9.95500000e-01    1.46370198e-01    1.64500750e-06    1.30499415e-07
  -9.95400000e-01    1.46370198e-01    1.64500510e-06    1.30493153e-07
  -9.95300000e-01    1.46370198e-01    1.64500271e-06    1.30486890e-07
  -9.95200000e-01    1.46370198e-01    1.64500032e-06    1.30480628e-07
  -9.95100000e-01    1.46370198e-01    1.64499792e-06    1.30474365e-07
  -9.95000000e-01    1.46370198e-01    1.64499553e-06    1.30468103e-07
  -9.94900000e-01    1.46370198e-01    1.64499313e-06    1.30461840e-07
  -9.94800000e-01    1.46370198e-01    1.64499074e-06    1.30455578e-07
  -9.94700000e-01    1.46370198e-01    1.64498835e-06    1.30449315e-07
  -9.94600000e-01    1.46370198e-01    1.64498595e-06    1.30443053e-07
  -9.94500000e-01    1.46370198e-01    1.64498356e-06    1.30436790e-07
  -9.94400000e-01    1.46370198e-01    1.64498116e-06    1.30430528e-07
  -9.94300000e-01    1.46370198e-01    1.64497877e-06    1.30424265e-07
  -9.94200000e-01    1.46370198e-01    1.64497638e-06    1.30418003e-07
  -9.94100000e-01    1.46370198e-01    1.64497398e-06    1.30411741e-07
  -9.94000000e-01    1.46370198e-01    1.64497159e-06    1.30405478e-07
