      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -1.00000000e-01   -6.16414485e-01    1.12073412e-06   -6.94554134e-07
  -9.99000000e-02   -6.16414485e-01    1.12051685e-06   -6.93873629e-07
  -9.98000000e-02   -6.16414485e-01    1.12029980e-06   -6.93193074e-07
  -9.97000000e-02   -6.16414485e-01    1.12008285e-06   -6.92512385e-07
  -9.96000000e-02   -6.16414485e-01    1.11986600e-06   -6.91831561e-07
  -9.95000000e-02   -6.16414484e-01    1.11964924e-06   -6.91150605e-07
  -9.94000000e-02   -6.16414484e-01    1.11943258e-06   -6.90469515e-07
  -9.93000000e-02   -6.16414484e-01    1.11921602e-06   -6.89788293e-07
  -9.92000000e-02   -6.16414484e-01    1.11899955e-06   -6.89106940e-07
  -9.91000000e-02   -6.16414484e-01    1.11878319e-06   -6.88425455e-07
  -9.90000000e-02   -6.16414484e-01    1.11856692e-06   -6.87743839e-07
  -9.89000000e-02   -6.16414484e-01    1.11835075e-06   -6.87062094e-07
  -9.88000000e-02   -6.16414484e-01    1.11813468e-06   -6.86380219e-07
  -9.87000000e-02   -6.16414484e-01    1.11791871e-06   -6.85698214e-07
  -9.86000000e-02   -6.16414483e-01    1.11770284e-06   -6.85016082e-07
  -9.85000000e-02   -6.16414483e-01    1.11748707e-06   -6.84333821e-07
  -9.84000000e-02   -6.16414483e-01    1.11727140e-06   -6.83651433e-07
  -9.83000000e-02   -6.16414483e-01    1.11705584e-06   -6.82968918e-07
  -9.82000000e-02   -6.16414483e-01    1.11684037e-06   -6.82286277e-07
  -9.81000000e-02   -6.16414483e-01    1.11662501e-06   -6.81603509e-07
  -9.80000000e-02   -6.16414483e-01    1.11640974e-06   -6.80920617e-07
  -9.79000000e-02   -6.16414483e-01    1.11619459e-06   -6.80237600e-07
  -9.78000000e-02   -6.16414483e-01    1.11597953e-06   -6.79554458e-07
  -9.77000000e-02   -6.16414483e-01    1.11576458e-06   -6.78871193e-07
  -9.76000000e-02   -6.16414482e-01    1.11554973e-06   -6.78187805e-07
  -9.75000000e-02   -6.16414482e-01    1.11533499e-06   -6.77504294e-07
  -9.74000000e-02   -6.16414482e-01    1.11512035e-06   -6.76820661e-07
  -9.73000000e-02   -6.16414482e-01    1.11490582e-06   -6.76136906e-07
  -9.72000000e-02   -6.16414482e-01    1.11469139e-06   -6.75453030e-07
  -9.71000000e-02   -6.16414482e-01    1.11447707e-06   -6.74769034e-07
  -9.70000000e-02   -6.16414482e-01    1.11426285e-06   -6.74084917e-07
  -9.69000000e-02   -6.16414482e-01    1.11404874e-06   -6.73400681e-07
  -9.68000000e-02   -6.16414482e-01    1.11383474e-06   -6.72716327e-07
  -9.67000000e-02   -6.16414481e-01    1.11362084e-06   -6.72031853e-07
  -9.66000000e-02   -6.16414481e-01    1.11340706e-06   -6.71347262e-07
  -9.65000000e-02   -6.16414481e-01    1.11319338e-06   -6.70662553e-07
  -9.64000000e-02   -6.16414481e-01    1.11297981e-06   -6.69977728e-07
  -9.63000000e-02   -6.16414481e-01    1.11276634e-06   -6.69292786e-07
  -9.62000000e-02   -6.16414481e-01    1.11255299e-06   -6.68607728e-07
  -9.61000000e-02   -6.16414481e-01    1.11233975e-06   -6.67922555e-07
  -9.60000000e-02   -6.16414481e-01    1.11212661e-06   -6.67237267e-07
  -9.59000000e-02   -6.16414481e-01    1.11191359e-06   -6.66551864e-07
  -9.58000000e-02   -6.16414480e-01    1.11170068e-06   -6.65866348e-07
  -9.57000000e-02   -6.16414480e-01    1.11148788e-06   -6.65180718e-07
  -9.56000000e-02   -6.16414480e-01    1.11127519e-06   -6.64494976e-07
  -9.55000000e-02   -6.16414480e-01    1.11106261e-06   -6.63809121e-07
  -9.54000000e-02   -6.16414480e-01    1.11085014e-06   -6.63123155e-07
  -9.53000000e-02   -6.16414480e-01    1.11063779e-06   -6.62437077e-07
  -9.52000000e-02   -6.16414480e-01    1.11042555e-06   -6.61750888e-07
  -9.51000000e-02   -6.16414480e-01    1.11021342e-06   -6.61064590e-07
  -9.50000000e-02   -6.16414480e-01    1.11000140e-06   -6.60378181e-07
  -9.49000000e-02   -6.16414480e-01    1.10978950e-06   -6.59691663e-07
  -9.48000000e-02   -6.16414479e-01    1.10957772e-06   -6.59005036e-07
  -9.47000000e-02   -6.16414479e-01    1.10936605e-06   -6.58318301e-07
  -9.46000000e-02   -6.16414479e-01    1.10915449e-06   -6.57631459e-07
  -9.45000000e-02   -6.16414479e-01    1.10894305e-06   -6.56944509e-07
  -9.44000000e-02   -6.16414479e-01    1.10873173e-06   -6.56257452e-07
  -9.43000000e-02   -6.16414479e-01    1.10852052e-06   -6.55570289e-07
  -9.42000000e-02   -6.16414479e-01    1.10830943e-06   -6.54883020e-07
  -9.41000000e-02   -6.16414479e-01    1.10809845e-06   -6.54195646e-07
  -9.40000000e-02   -6.16414479e-01    1.10788759e-06   -6.53508167e-07
  -9.39000000e-02   -6.16414478e-01    1.10767685e-06   -6.52820583e-07
  -9.38000000e-02   -6.16414478e-01    1.10746623e-06   -6.52132896e-07
  -9.37000000e-02   -6.16414478e-01    1.10725572e-06   -6.51445106e-07
  -9.36000000e-02   -6.16414478e-01    1.10704534e-06   -6.50757212e-07
  -9.35000000e-02   -6.16414478e-01    1.10683507e-06   -6.50069217e-07
  -9.34000000e-02   -6.16414478e-01    1.10662493e-06   -6.49381119e-07
  -9.33000000e-02   -6.16414478e-01    1.10641490e-06   -6.48692920e-07
  -9.32000000e-02   -6.16414478e-01    1.10620499e-06   -6.48004620e-07
  -9.31000000e-02   -6.16414478e-01    1.10599520e-06   -6.47316220e-07
  -9.30000000e-02   -6.16414477e-01    1.10578554e-06   -6.46627720e-07
