      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    3.14139412e-14
   2.00000000e-02    6.40683437e-14
   3.00000000e-02    9.81002235e-14
   4.00000000e-02    1.33662235e-13
   5.00000000e-02    1.70924570e-13
   6.00000000e-02    2.10077110e-13
   7.00000000e-02    2.51331876e-13
   8.00000000e-02    2.94925816e-13
   9.00000000e-02    3.41123992e-13
   1.00000000e-01    3.90223224e-13
   1.10000000e-01    4.42556275e-13
   1.20000000e-01    4.98496660e-13
   1.30000000e-01    5.58464205e-13
   1.40000000e-01    6.22931463e-13
   1.50000000e-01    6.92431167e-13
   1.60000000e-01    7.67564896e-13
   1.70000000e-01    8.49013183e-13
   1.80000000e-01    9.37547346e-13
   1.90000000e-01    1.03404336e-12
   2.00000000e-01    1.13949820e-12
   2.10000000e-01    1.25504908e-12
   2.20000000e-01    1.38199627e-12
   2.30000000e-01    1.52183013e-12
   2.40000000e-01    1.67626326e-12
   2.50000000e-01    1.84726884e-12
   2.60000000e-01    2.03712646e-12
   2.70000000e-01    2.24847703e-12
   2.80000000e-01    2.48438862e-12
   2.90000000e-01    2.74843578e-12
   3.00000000e-01    3.04479506e-12
   3.10000000e-01    3.37836035e-12
   3.20000000e-01    3.75488243e-12
   3.30000000e-01    4.18113795e-12
   3.40000000e-01    4.66513457e-12
   3.50000000e-01    5.21636001e-12
   3.60000000e-01    5.84608514e-12
   3.70000000e-01    6.56773301e-12
   3.80000000e-01    7.39732877e-12
   3.90000000e-01    8.35404877e-12
   4.00000000e-01    9.46089113e-12
   4.10000000e-01    1.07454956e-11
   4.20000000e-01    1.22411465e-11
   4.30000000e-01    1.39880005e-11
   4.40000000e-01    1.60345906e-11
   4.50000000e-01    1.84396692e-11
   4.60000000e-01    2.12744694e-11
   4.70000000e-01    2.46254773e-11
   4.80000000e-01    2.85978368e-11
   4.90000000e-01    3.33195286e-11
   5.00000000e-01    3.89465038e-11
   5.10000000e-01    4.56689918e-11
   5.20000000e-01    5.37192518e-11
   5.30000000e-01    6.33811025e-11
   5.40000000e-01    7.50016403e-11
   5.50000000e-01    8.90056502e-11
   5.60000000e-01    1.05913333e-10
   5.70000000e-01    1.26362117e-10
   5.80000000e-01    1.51133493e-10
   5.90000000e-01    1.81186041e-10
   6.00000000e-01    2.17696088e-10
   6.10000000e-01    2.62107737e-10
   6.20000000e-01    3.16194480e-10
   6.30000000e-01    3.82135035e-10
   6.40000000e-01    4.62606736e-10
   6.50000000e-01    5.60900527e-10
   6.60000000e-01    6.81062574e-10
   6.70000000e-01    8.28068663e-10
   6.80000000e-01    1.00803899e-09
   6.90000000e-01    1.22850272e-09
   7.00000000e-01    1.49872382e-09
   7.10000000e-01    1.83010242e-09
   7.20000000e-01    2.23666926e-09
   7.30000000e-01    2.73569466e-09
   7.40000000e-01    3.34843883e-09
   7.50000000e-01    4.10107606e-09
   7.60000000e-01    5.02583335e-09
   7.70000000e-01    6.16239312e-09
   7.80000000e-01    7.55962136e-09
   7.90000000e-01    9.27769663e-09
   8.00000000e-01    1.13907332e-08
   8.10000000e-01    1.39900126e-08
   8.20000000e-01    1.71879654e-08
   8.30000000e-01    2.11230768e-08
   8.40000000e-01    2.59659309e-08
   8.50000000e-01    3.19266573e-08
   8.60000000e-01    3.92641067e-08
   8.70000000e-01    4.82971558e-08
   8.80000000e-01    5.94186369e-08
   8.90000000e-01    7.31124995e-08
   9.00000000e-01    8.99749572e-08
   9.10000000e-01    1.10740543e-07
   9.20000000e-01    1.36314211e-07
   9.30000000e-01    1.67810897e-07
   9.40000000e-01    2.06604252e-07
   9.50000000e-01    2.54386701e-07
   9.60000000e-01    3.13243438e-07
   9.70000000e-01    3.85743597e-07
   9.80000000e-01    4.75052602e-07
   9.90000000e-01    5.85070584e-07
   1.00000000e+00    7.20602948e-07
End of Xyce(TM) Simulation
