      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.03185590e-14
   2.00000000e-02    2.07466560e-14
   3.00000000e-02    3.13219563e-14
   4.00000000e-02    4.20950764e-14
   5.00000000e-02    5.31340377e-14
   6.00000000e-02    6.45302509e-14
   7.00000000e-02    7.64065588e-14
   8.00000000e-02    8.89280445e-14
   9.00000000e-02    1.02316555e-13
   1.00000000e-01    1.16870222e-13
   1.10000000e-01    1.32989690e-13
   1.20000000e-01    1.51213367e-13
   1.30000000e-01    1.72264796e-13
   1.40000000e-01    1.97116312e-13
   1.50000000e-01    2.27074595e-13
   1.60000000e-01    2.63895632e-13
   1.70000000e-01    3.09939215e-13
   1.80000000e-01    3.68376560e-13
   1.90000000e-01    4.43469324e-13
   2.00000000e-01    5.40944554e-13
   2.10000000e-01    6.68498573e-13
   2.20000000e-01    8.36474118e-13
   2.30000000e-01    1.05877033e-12
   2.40000000e-01    1.35406564e-12
   2.50000000e-01    1.74746113e-12
   2.60000000e-01    2.27268906e-12
   2.70000000e-01    2.97508063e-12
   2.80000000e-01    3.91555445e-12
   2.90000000e-01    5.17597626e-12
   3.00000000e-01    6.86636175e-12
   3.10000000e-01    9.13455604e-12
   3.20000000e-01    1.21792415e-11
   3.30000000e-01    1.62674185e-11
   3.40000000e-01    2.17578967e-11
   3.50000000e-01    2.91328642e-11
   3.60000000e-01    3.90403120e-11
   3.70000000e-01    5.23510458e-11
   3.80000000e-01    7.02353022e-11
   3.90000000e-01    9.42657095e-11
   4.00000000e-01    1.26555652e-10
   4.10000000e-01    1.69945211e-10
   4.20000000e-01    2.28251044e-10
   4.30000000e-01    3.06602186e-10
   4.40000000e-01    4.11891314e-10
   4.50000000e-01    5.53381187e-10
   4.60000000e-01    7.43519610e-10
   4.70000000e-01    9.99034624e-10
   4.80000000e-01    1.34240629e-09
   4.90000000e-01    1.80384456e-09
   5.00000000e-01    2.42394719e-09
   5.10000000e-01    3.25727173e-09
   5.20000000e-01    4.37713556e-09
   5.30000000e-01    5.88206664e-09
   5.40000000e-01    7.90447221e-09
   5.50000000e-01    1.06222884e-08
   5.60000000e-01    1.42746357e-08
   5.70000000e-01    1.91828570e-08
   5.80000000e-01    2.57787909e-08
   5.90000000e-01    3.46427656e-08
   6.00000000e-01    4.65546582e-08
   6.10000000e-01    6.25625100e-08
   6.20000000e-01    8.40747368e-08
   6.30000000e-01    1.12984045e-07
   6.40000000e-01    1.51833957e-07
   6.50000000e-01    2.04042600e-07
   6.60000000e-01    2.74203436e-07
   6.70000000e-01    3.68489418e-07
   6.80000000e-01    4.95196094e-07
   6.90000000e-01    6.65471479e-07
   7.00000000e-01    8.94296887e-07
   7.10000000e-01    1.20180503e-06
   7.20000000e-01    1.61505136e-06
   7.30000000e-01    2.17039447e-06
   7.40000000e-01    2.91669502e-06
   7.50000000e-01    3.91961468e-06
   7.60000000e-01    5.26739319e-06
   7.70000000e-01    7.07861196e-06
   7.80000000e-01    9.51262718e-06
   7.90000000e-01    1.27835905e-05
   8.00000000e-01    1.71792906e-05
   8.10000000e-01    2.30864738e-05
   8.20000000e-01    3.10248709e-05
   8.30000000e-01    4.16929248e-05
   8.40000000e-01    5.60292415e-05
   8.50000000e-01    7.52951710e-05
   8.60000000e-01    1.01185785e-04
   8.70000000e-01    1.35979014e-04
   8.80000000e-01    1.82736065e-04
   8.90000000e-01    2.45570758e-04
   9.00000000e-01    3.30011469e-04
   9.10000000e-01    4.43487533e-04
   9.20000000e-01    5.95982899e-04
   9.30000000e-01    8.00914545e-04
   9.40000000e-01    1.07631294e-03
   9.50000000e-01    1.44640844e-03
   9.60000000e-01    1.94376308e-03
   9.70000000e-01    2.61213556e-03
   9.80000000e-01    3.51033120e-03
   9.90000000e-01    4.71737582e-03
   1.00000000e+00    6.33946865e-03
End of Xyce(TM) Simulation
