      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    4.39884780e-14
   2.00000000e-02    9.51699663e-14
   3.00000000e-02    1.55720971e-13
   4.00000000e-02    2.28484041e-13
   5.00000000e-02    3.17174391e-13
   6.00000000e-02    4.26651669e-13
   7.00000000e-02    5.63277788e-13
   8.00000000e-02    7.35388600e-13
   9.00000000e-02    9.53916339e-13
   1.00000000e-01    1.23321201e-12
   1.10000000e-01    1.59213323e-12
   1.20000000e-01    2.05548510e-12
   1.30000000e-01    2.65593098e-12
   1.40000000e-01    3.43652979e-12
   1.50000000e-01    4.45410977e-12
   1.60000000e-01    5.78376048e-12
   1.70000000e-01    7.52482175e-12
   1.80000000e-01    9.80887972e-12
   1.90000000e-01    1.28104571e-11
   2.00000000e-01    1.67613260e-11
   2.10000000e-01    2.19696965e-11
   2.20000000e-01    2.88459800e-11
   2.30000000e-01    3.79374260e-11
   2.40000000e-01    4.99747546e-11
   2.50000000e-01    6.59350246e-11
   2.60000000e-01    8.71265047e-11
   2.70000000e-01    1.15303402e-10
   2.80000000e-01    1.52821157e-10
   2.90000000e-01    2.02846907e-10
   3.00000000e-01    2.69645107e-10
   3.10000000e-01    3.58965572e-10
   3.20000000e-01    4.78571352e-10
   3.30000000e-01    6.38957617e-10
   3.40000000e-01    8.54331797e-10
   3.50000000e-01    1.14395134e-09
   3.60000000e-01    1.53395153e-09
   3.70000000e-01    2.05984527e-09
   3.80000000e-01    2.76994538e-09
   3.90000000e-01    3.73005397e-09
   4.00000000e-01    5.02989377e-09
   4.10000000e-01    6.79193598e-09
   4.20000000e-01    9.18352740e-09
   4.30000000e-01    1.24335626e-08
   4.40000000e-01    1.68554210e-08
   4.50000000e-01    2.28785457e-08
   4.60000000e-01    3.10919467e-08
   4.70000000e-01    4.23041702e-08
   4.80000000e-01    5.76260131e-08
   4.90000000e-01    7.85846734e-08
   5.00000000e-01    1.07281367e-07
   5.10000000e-01    1.46609063e-07
   5.20000000e-01    2.00553418e-07
   5.30000000e-01    2.74608870e-07
   5.40000000e-01    3.76354193e-07
   5.50000000e-01    5.16248947e-07
   5.60000000e-01    7.08735973e-07
   5.70000000e-01    9.73768054e-07
   5.80000000e-01    1.33892262e-06
   5.90000000e-01    1.84233180e-06
   6.00000000e-01    2.53674345e-06
   6.10000000e-01    3.49515089e-06
   6.20000000e-01    4.81859955e-06
   6.30000000e-01    6.64701436e-06
   6.40000000e-01    9.17422023e-06
   6.50000000e-01    1.26687833e-05
   6.60000000e-01    1.75029339e-05
   6.70000000e-01    2.41927123e-05
   6.80000000e-01    3.34537004e-05
   6.90000000e-01    4.62784022e-05
   7.00000000e-01    6.40436958e-05
   7.10000000e-01    8.86600659e-05
   7.20000000e-01    1.22778883e-04
   7.30000000e-01    1.70080340e-04
   7.40000000e-01    2.35673480e-04
   7.50000000e-01    3.26651997e-04
   7.60000000e-01    4.52866533e-04
   7.70000000e-01    6.27997911e-04
   7.80000000e-01    8.71048663e-04
   7.90000000e-01    1.20841604e-03
   8.00000000e-01    1.67677340e-03
   8.10000000e-01    2.32707544e-03
   8.20000000e-01    3.23012591e-03
   8.30000000e-01    4.48431789e-03
   8.40000000e-01    6.22639470e-03
   8.50000000e-01    8.64641114e-03
   8.60000000e-01    1.20085353e-02
   8.70000000e-01    1.66799726e-02
   8.80000000e-01    2.31711838e-02
   8.90000000e-01    3.21918106e-02
   9.00000000e-01    4.47284444e-02
   9.10000000e-01    6.21527744e-02
   9.20000000e-01    8.63719845e-02
   9.30000000e-01    1.20037912e-01
   9.40000000e-01    1.66837929e-01
   9.50000000e-01    2.31899496e-01
   9.60000000e-01    3.22352806e-01
   9.70000000e-01    4.48113329e-01
   9.80000000e-01    6.22970203e-01
   9.90000000e-01    8.66100050e-01
   1.00000000e+00    1.20417252e+00
End of Xyce(TM) Simulation
