      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.21471684e-14
   2.00000000e-02    2.51342330e-14
   3.00000000e-02    3.92897313e-14
   4.00000000e-02    5.50707130e-14
   5.00000000e-02    7.31130097e-14
   6.00000000e-02    9.43011676e-14
   7.00000000e-02    1.19865736e-13
   8.00000000e-02    1.51518611e-13
   9.00000000e-02    1.91641323e-13
   1.00000000e-01    2.43546972e-13
   1.10000000e-01    3.11844623e-13
   1.20000000e-01    4.02946248e-13
   1.30000000e-01    5.25771951e-13
   1.40000000e-01    6.92731066e-13
   1.50000000e-01    9.21087019e-13
   1.60000000e-01    1.23485607e-12
   1.70000000e-01    1.66744881e-12
   1.80000000e-01    2.26534483e-12
   1.90000000e-01    3.09320491e-12
   2.00000000e-01    4.24098285e-12
   2.10000000e-01    5.83381915e-12
   2.20000000e-01    8.04580487e-12
   2.30000000e-01    1.11191293e-11
   2.40000000e-01    1.53907175e-11
   2.50000000e-01    2.13292879e-11
   2.60000000e-01    2.95869047e-11
   2.70000000e-01    4.10706966e-11
   2.80000000e-01    5.70426288e-11
   2.90000000e-01    7.92583027e-11
   3.00000000e-01    1.10160048e-10
   3.10000000e-01    1.53145549e-10
   3.20000000e-01    2.12941541e-10
   3.30000000e-01    2.96123692e-10
   3.40000000e-01    4.11839839e-10
   3.50000000e-01    5.72816125e-10
   3.60000000e-01    7.96756711e-10
   3.70000000e-01    1.10829100e-09
   3.80000000e-01    1.54168254e-09
   3.90000000e-01    2.14459756e-09
   4.00000000e-01    2.98334763e-09
   4.10000000e-01    4.15018307e-09
   4.20000000e-01    5.77343923e-09
   4.30000000e-01    8.03165170e-09
   4.40000000e-01    1.11731929e-08
   4.50000000e-01    1.55435896e-08
   4.60000000e-01    2.16235265e-08
   4.70000000e-01    3.00817152e-08
   4.80000000e-01    4.18484433e-08
   4.90000000e-01    5.82178941e-08
   5.00000000e-01    8.09904895e-08
   5.10000000e-01    1.12670912e-07
   5.20000000e-01    1.56743589e-07
   5.30000000e-01    2.18055929e-07
   5.40000000e-01    3.03351478e-07
   5.50000000e-01    4.22011615e-07
   5.60000000e-01    5.87087385e-07
   5.70000000e-01    8.16734935e-07
   5.80000000e-01    1.13621246e-06
   5.90000000e-01    1.58065825e-06
   6.00000000e-01    2.19895546e-06
   6.10000000e-01    3.05910861e-06
   6.20000000e-01    4.25572314e-06
   6.30000000e-01    5.92041083e-06
   6.40000000e-01    8.23626528e-06
   6.50000000e-01    1.14579998e-05
   6.60000000e-01    1.59399627e-05
   6.70000000e-01    2.21751103e-05
   6.80000000e-01    3.08492265e-05
   6.90000000e-01    4.29163493e-05
   7.00000000e-01    5.97037024e-05
   7.10000000e-01    8.30576725e-05
   7.20000000e-01    1.15546887e-04
   7.30000000e-01    1.60744730e-04
   7.40000000e-01    2.23622366e-04
   7.50000000e-01    3.11095502e-04
   7.60000000e-01    4.32785026e-04
   7.70000000e-01    6.02075174e-04
   7.80000000e-01    8.37585623e-04
   7.90000000e-01    1.16521940e-03
   8.00000000e-01    1.62101190e-03
   8.10000000e-01    2.25509425e-03
   8.20000000e-01    3.13720711e-03
   8.30000000e-01    4.36437124e-03
   8.40000000e-01    6.07155845e-03
   8.50000000e-01    8.44653672e-03
   8.60000000e-01    1.17505222e-02
   8.70000000e-01    1.63469097e-02
   8.80000000e-01    2.27412408e-02
   8.90000000e-01    3.16368075e-02
   9.00000000e-01    4.40120042e-02
   9.10000000e-01    6.12279389e-02
   9.20000000e-01    8.51781365e-02
   9.30000000e-01    1.18496802e-01
   9.40000000e-01    1.64848547e-01
   9.50000000e-01    2.29331450e-01
   9.60000000e-01    3.19037778e-01
   9.70000000e-01    4.43834039e-01
   9.80000000e-01    6.17446170e-01
   9.90000000e-01    8.58969207e-01
   1.00000000e+00    1.19496749e+00
End of Xyce(TM) Simulation
