      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    7.57231289e-13
   2.00000000e-02    1.71963686e-12
   3.00000000e-02    2.94355333e-12
   4.00000000e-02    4.50078620e-12
   5.00000000e-02    6.48285726e-12
   6.00000000e-02    9.00641831e-12
   7.00000000e-02    1.22201513e-11
   8.00000000e-02    1.63135633e-11
   9.00000000e-02    2.15281958e-11
   1.00000000e-01    2.81719129e-11
   1.10000000e-01    3.66371118e-11
   1.20000000e-01    4.74239337e-11
   1.30000000e-01    6.11698484e-11
   1.40000000e-01    7.86873616e-11
   1.50000000e-01    1.01012076e-10
   1.60000000e-01    1.29463951e-10
   1.70000000e-01    1.65725377e-10
   1.80000000e-01    2.11940696e-10
   1.90000000e-01    2.70843042e-10
   2.00000000e-01    3.45916009e-10
   2.10000000e-01    4.41599717e-10
   2.20000000e-01    5.63553450e-10
   2.30000000e-01    7.18990414e-10
   2.40000000e-01    9.17104412e-10
   2.50000000e-01    1.16961368e-09
   2.60000000e-01    1.49145403e-09
   2.70000000e-01    1.90166235e-09
   2.80000000e-01    2.42450265e-09
   2.90000000e-01    3.09090136e-09
   3.00000000e-01    3.94027665e-09
   3.10000000e-01    5.02287011e-09
   3.20000000e-01    6.40271863e-09
   3.30000000e-01    8.16144231e-09
   3.40000000e-01    1.04030725e-08
   3.50000000e-01    1.32602052e-08
   3.60000000e-01    1.69018448e-08
   3.70000000e-01    2.15434008e-08
   3.80000000e-01    2.74594294e-08
   3.90000000e-01    3.49998746e-08
   4.00000000e-01    4.46107675e-08
   4.10000000e-01    5.68606105e-08
   4.20000000e-01    7.24740046e-08
   4.30000000e-01    9.23745115e-08
   4.40000000e-01    1.17739284e-07
   4.50000000e-01    1.50068696e-07
   4.60000000e-01    1.91275095e-07
   4.70000000e-01    2.43795917e-07
   4.80000000e-01    3.10737870e-07
   4.90000000e-01    3.96060698e-07
   5.00000000e-01    5.04811409e-07
   5.10000000e-01    6.43422818e-07
   5.20000000e-01    8.20094054e-07
   5.30000000e-01    1.04527556e-06
   5.40000000e-01    1.33228726e-06
   5.50000000e-01    1.69810643e-06
   5.60000000e-01    2.16437200e-06
   5.70000000e-01    2.75866446e-06
   5.80000000e-01    3.51613735e-06
   5.90000000e-01    4.48159666e-06
   6.00000000e-01    5.71215115e-06
   6.10000000e-01    7.28059049e-06
   6.20000000e-01    9.27969089e-06
   6.30000000e-01    1.18277030e-05
   6.40000000e-01    1.50753465e-05
   6.50000000e-01    1.92147260e-05
   6.60000000e-01    2.44906935e-05
   6.70000000e-01    3.12153328e-05
   6.80000000e-01    3.97864191e-05
   6.90000000e-01    5.07109488e-05
   7.00000000e-01    6.46351287e-05
   7.10000000e-01    8.23826009e-05
   7.20000000e-01    1.05003162e-04
   7.30000000e-01    1.33834863e-04
   7.40000000e-01    1.70583153e-04
   7.50000000e-01    2.17421765e-04
   7.60000000e-01    2.77121293e-04
   7.70000000e-01    3.53213078e-04
   7.80000000e-01    4.50198095e-04
   7.90000000e-01    5.73813196e-04
   8.00000000e-01    7.31370451e-04
   8.10000000e-01    9.32189674e-04
   8.20000000e-01    1.18814971e-03
   8.30000000e-01    1.51439108e-03
   8.40000000e-01    1.93021160e-03
   8.50000000e-01    2.46020785e-03
   8.60000000e-01    3.13573013e-03
   8.70000000e-01    3.99673686e-03
   8.80000000e-01    5.09415827e-03
   8.90000000e-01    6.49290894e-03
   9.00000000e-01    8.27572766e-03
   9.10000000e-01    1.05480716e-02
   9.20000000e-01    1.34443542e-02
   9.30000000e-01    1.71358963e-02
   9.40000000e-01    2.18410595e-02
   9.50000000e-01    2.78381634e-02
   9.60000000e-01    3.54819482e-02
   9.70000000e-01    4.52245585e-02
   9.80000000e-01    5.76422884e-02
   9.90000000e-01    7.34696704e-02
   1.00000000e+00    9.36429248e-02
End of Xyce(TM) Simulation
