      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    2.22996616e-14
   2.00000000e-02    4.51474553e-14
   3.00000000e-02    6.86747172e-14
   4.00000000e-02    9.30444870e-14
   5.00000000e-02    1.18459242e-13
   6.00000000e-02    1.45170541e-13
   7.00000000e-02    1.73491069e-13
   8.00000000e-02    2.03809679e-13
   9.00000000e-02    2.36610203e-13
   1.00000000e-01    2.72494995e-13
   1.10000000e-01    3.12214424e-13
   1.20000000e-01    3.56703854e-13
   1.30000000e-01    4.07130076e-13
   1.40000000e-01    4.64949651e-13
   1.50000000e-01    5.31982336e-13
   1.60000000e-01    6.10503577e-13
   1.70000000e-01    7.03361202e-13
   1.80000000e-01    8.14122828e-13
   1.90000000e-01    9.47262345e-13
   2.00000000e-01    1.10839618e-12
   2.10000000e-01    1.30458312e-12
   2.20000000e-01    1.54470529e-12
   2.30000000e-01    1.83995325e-12
   2.40000000e-01    2.20444453e-12
   2.50000000e-01    2.65601368e-12
   2.60000000e-01    3.21722325e-12
   2.70000000e-01    3.91665980e-12
   2.80000000e-01    4.79059816e-12
   2.90000000e-01    5.88514255e-12
   3.00000000e-01    7.25898632e-12
   3.10000000e-01    8.98697531e-12
   3.20000000e-01    1.11647175e-11
   3.30000000e-01    1.39145570e-11
   3.40000000e-01    1.73933294e-11
   3.50000000e-01    2.18024487e-11
   3.60000000e-01    2.74010487e-11
   3.70000000e-01    3.45231335e-11
   3.80000000e-01    4.35999966e-11
   3.90000000e-01    5.51895761e-11
   4.00000000e-01    7.00149515e-11
   4.10000000e-01    8.90149046e-11
   4.20000000e-01    1.13410426e-10
   4.30000000e-01    1.44792313e-10
   4.40000000e-01    1.85236713e-10
   4.50000000e-01    2.37457715e-10
   4.60000000e-01    3.05009117e-10
   4.70000000e-01    3.92551544e-10
   4.80000000e-01    5.06206451e-10
   4.90000000e-01    6.54025792e-10
   5.00000000e-01    8.46615742e-10
   5.10000000e-01    1.09796580e-09
   5.20000000e-01    1.42655185e-09
   5.30000000e-01    1.85680497e-09
   5.40000000e-01    2.42106868e-09
   5.50000000e-01    3.16220905e-09
   5.60000000e-01    4.13709781e-09
   5.70000000e-01    5.42126331e-09
   5.80000000e-01    7.11510469e-09
   5.90000000e-01    9.35219909e-09
   6.00000000e-01    1.23104128e-08
   6.10000000e-01    1.62267700e-08
   6.20000000e-01    2.14173572e-08
   6.30000000e-01    2.83039833e-08
   6.40000000e-01    3.74498970e-08
   6.50000000e-01    4.96076597e-08
   6.60000000e-01    6.57833297e-08
   6.70000000e-01    8.73225410e-08
   6.80000000e-01    1.16025980e-07
   6.90000000e-01    1.54304336e-07
   7.00000000e-01    2.05386274e-07
   7.10000000e-01    2.73597634e-07
   7.20000000e-01    3.64736316e-07
   7.30000000e-01    4.86575756e-07
   7.40000000e-01    6.49541208e-07
   7.50000000e-01    8.67618290e-07
   7.60000000e-01    1.15957373e-06
   7.70000000e-01    1.55059587e-06
   7.80000000e-01    2.07449940e-06
   7.90000000e-01    2.77668894e-06
   8.00000000e-01    3.71814288e-06
   8.10000000e-01    4.98076931e-06
   8.20000000e-01    6.67460726e-06
   8.30000000e-01    8.94750986e-06
   8.40000000e-01    1.19981657e-05
   8.50000000e-01    1.60936105e-05
   8.60000000e-01    2.15927791e-05
   8.70000000e-01    2.89781829e-05
   8.80000000e-01    3.88985186e-05
   8.90000000e-01    5.22259834e-05
   9.00000000e-01    7.01333754e-05
   9.10000000e-01    9.41978142e-05
   9.20000000e-01    1.26540278e-04
   9.30000000e-01    1.70013331e-04
   9.40000000e-01    2.28453696e-04
   9.50000000e-01    3.07022071e-04
   9.60000000e-01    4.12660356e-04
   9.70000000e-01    5.54706853e-04
   9.80000000e-01    7.45724052e-04
   9.90000000e-01    1.00261248e-03
   1.00000000e+00    1.34810950e-03
End of Xyce(TM) Simulation
