      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.01426425e-14
   2.00000000e-02    2.03184045e-14
   3.00000000e-02    3.05349759e-14
   4.00000000e-02    4.08018321e-14
   5.00000000e-02    5.11306485e-14
   6.00000000e-02    6.15358112e-14
   7.00000000e-02    7.20350470e-14
   8.00000000e-02    8.26501980e-14
   9.00000000e-02    9.34081783e-14
   1.00000000e-01    1.04342151e-13
   1.10000000e-01    1.15492978e-13
   1.20000000e-01    1.26911011e-13
   1.30000000e-01    1.38658291e-13
   1.40000000e-01    1.50811263e-13
   1.50000000e-01    1.63464125e-13
   1.60000000e-01    1.76732944e-13
   1.70000000e-01    1.90760735e-13
   1.80000000e-01    2.05723721e-13
   1.90000000e-01    2.21839040e-13
   2.00000000e-01    2.39374249e-13
   2.10000000e-01    2.58659025e-13
   2.20000000e-01    2.80099592e-13
   2.30000000e-01    3.04196494e-13
   2.40000000e-01    3.31566493e-13
   2.50000000e-01    3.62969555e-13
   2.60000000e-01    3.99342101e-13
   2.70000000e-01    4.41837971e-13
   2.80000000e-01    4.91878914e-13
   2.90000000e-01    5.51216788e-13
   3.00000000e-01    6.22010204e-13
   3.10000000e-01    7.06918976e-13
   3.20000000e-01    8.09220486e-13
   3.30000000e-01    9.32953076e-13
   3.40000000e-01    1.08309273e-12
   3.50000000e-01    1.26577080e-12
   3.60000000e-01    1.48854223e-12
   3.70000000e-01    1.76071611e-12
   3.80000000e-01    2.09376300e-12
   3.90000000e-01    2.50181672e-12
   4.00000000e-01    3.00229277e-12
   4.10000000e-01    3.61665030e-12
   4.20000000e-01    4.37133093e-12
   4.30000000e-01    5.29891568e-12
   4.40000000e-01    6.43955038e-12
   4.50000000e-01    7.84270218e-12
   4.60000000e-01    9.56932374e-12
   4.70000000e-01    1.16945201e-11
   4.80000000e-01    1.43108346e-11
   4.90000000e-01    1.75322977e-11
   5.00000000e-01    2.14994163e-11
   5.10000000e-01    2.63853208e-11
   5.20000000e-01    3.24033401e-11
   5.30000000e-01    3.98163349e-11
   5.40000000e-01    4.89481984e-11
   5.50000000e-01    6.01980272e-11
   5.60000000e-01    7.40575822e-11
   5.70000000e-01    9.11328044e-11
   5.80000000e-01    1.12170325e-10
   5.90000000e-01    1.38090133e-10
   6.00000000e-01    1.70025826e-10
   6.10000000e-01    2.09374204e-10
   6.20000000e-01    2.57856386e-10
   6.30000000e-01    3.17593111e-10
   6.40000000e-01    3.91197521e-10
   6.50000000e-01    4.81889492e-10
   6.60000000e-01    5.93636511e-10
   6.70000000e-01    7.31327255e-10
   6.80000000e-01    9.00985484e-10
   6.90000000e-01    1.11003359e-09
   7.00000000e-01    1.36761733e-09
   7.10000000e-01    1.68500597e-09
   7.20000000e-01    2.07608537e-09
   7.30000000e-01    2.55796545e-09
   7.40000000e-01    3.15172881e-09
   7.50000000e-01    3.88335316e-09
   7.60000000e-01    4.78484781e-09
   7.70000000e-01    5.89565420e-09
   7.80000000e-01    7.26437151e-09
   7.90000000e-01    8.95088294e-09
   8.00000000e-01    1.10289757e-08
   8.10000000e-01    1.35895693e-08
   8.20000000e-01    1.67446936e-08
   8.30000000e-01    2.06323899e-08
   8.40000000e-01    2.54227510e-08
   8.50000000e-01    3.13253625e-08
   8.60000000e-01    3.85984731e-08
   8.70000000e-01    4.75602928e-08
   8.80000000e-01    5.86029156e-08
   8.90000000e-01    7.22094740e-08
   9.00000000e-01    8.89752769e-08
   9.10000000e-01    1.09633855e-07
   9.20000000e-01    1.35089056e-07
   9.30000000e-01    1.66454584e-07
   9.40000000e-01    2.05102734e-07
   9.50000000e-01    2.52724426e-07
   9.60000000e-01    3.11403185e-07
   9.70000000e-01    3.83706305e-07
   9.80000000e-01    4.72797165e-07
   9.90000000e-01    5.82573636e-07
   1.00000000e+00    7.17838621e-07
End of Xyce(TM) Simulation
