      V(1)          {I(D1)+I(D2)}  
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    2.62861724e-14
   2.00000000e-02    5.44760211e-14
   3.00000000e-02    8.51511766e-14
   4.00000000e-02    1.19072947e-13
   5.00000000e-02    1.57238575e-13
   6.00000000e-02    2.00955393e-13
   7.00000000e-02    2.51938672e-13
   8.00000000e-02    3.12440888e-13
   9.00000000e-02    3.85422676e-13
   1.00000000e-01    4.74779203e-13
   1.10000000e-01    5.85640279e-13
   1.20000000e-01    7.24768738e-13
   1.30000000e-01    9.01089948e-13
   1.40000000e-01    1.12639654e-12
   1.50000000e-01    1.41628762e-12
   1.60000000e-01    1.79142218e-12
   1.70000000e-01    2.27919418e-12
   1.80000000e-01    2.91597424e-12
   1.90000000e-01    3.75011402e-12
   2.00000000e-01    4.84597834e-12
   2.10000000e-01    6.28936449e-12
   2.20000000e-01    8.19479637e-12
   2.30000000e-01    1.07153562e-11
   2.40000000e-01    1.40559550e-11
   2.50000000e-01    1.84912710e-11
   2.60000000e-01    2.43900294e-11
   2.70000000e-01    3.22479132e-11
   2.80000000e-01    4.27322318e-11
   2.90000000e-01    5.67426275e-11
   3.00000000e-01    7.54936873e-11
   3.10000000e-01    1.00627504e-10
   3.20000000e-01    1.34367235e-10
   3.30000000e-01    1.79726835e-10
   3.40000000e-01    2.40797856e-10
   3.50000000e-01    3.23142048e-10
   3.60000000e-01    4.34329396e-10
   3.70000000e-01    5.84676210e-10
   3.80000000e-01    7.88258660e-10
   3.90000000e-01    1.06430588e-09
   4.00000000e-01    1.43911654e-09
   4.10000000e-01    1.94869781e-09
   4.20000000e-01    2.64240208e-09
   4.30000000e-01    3.58794262e-09
   4.40000000e-01    4.87831604e-09
   4.50000000e-01    6.64136346e-09
   4.60000000e-01    9.05298486e-09
   4.70000000e-01    1.23554141e-08
   4.80000000e-01    1.68825081e-08
   4.90000000e-01    2.30947606e-08
   5.00000000e-01    3.16278092e-08
   5.10000000e-01    4.33596641e-08
   5.20000000e-01    5.95039331e-08
   5.30000000e-01    8.17391496e-08
   5.40000000e-01    1.12388260e-07
   5.50000000e-01    1.54667824e-07
   5.60000000e-01    2.13034121e-07
   5.70000000e-01    2.93664031e-07
   5.80000000e-01    4.05123362e-07
   5.90000000e-01    5.59295974e-07
   6.00000000e-01    7.72675849e-07
   6.10000000e-01    1.06816432e-06
   6.20000000e-01    1.47757060e-06
   6.30000000e-01    2.04509160e-06
   6.40000000e-01    2.83215562e-06
   6.50000000e-01    3.92416569e-06
   6.60000000e-01    5.43988952e-06
   6.70000000e-01    7.54453681e-06
   6.80000000e-01    1.04679750e-05
   6.90000000e-01    1.45301061e-05
   7.00000000e-01    2.01762249e-05
   7.10000000e-01    2.80262909e-05
   7.20000000e-01    3.89435968e-05
   7.30000000e-01    5.41304806e-05
   7.40000000e-01    7.52617451e-05
   7.50000000e-01    1.04670659e-04
   7.60000000e-01    1.45608287e-04
   7.70000000e-01    2.02605077e-04
   7.80000000e-01    2.81975089e-04
   7.90000000e-01    3.92519163e-04
   8.00000000e-01    5.46505582e-04
   8.10000000e-01    7.61037846e-04
   8.20000000e-01    1.05996245e-03
   8.30000000e-01    1.47653005e-03
   8.40000000e-01    2.05710758e-03
   8.50000000e-01    2.86635689e-03
   8.60000000e-01    3.99445916e-03
   8.70000000e-01    5.56719414e-03
   8.80000000e-01    7.76000240e-03
   8.90000000e-01    1.08176055e-02
   9.00000000e-01    1.50813818e-02
   9.10000000e-01    2.10275639e-02
   9.20000000e-01    2.93205383e-02
   9.30000000e-01    4.08872193e-02
   9.40000000e-01    5.70208316e-02
   9.50000000e-01    7.95257351e-02
   9.60000000e-01    1.10919525e-01
   9.70000000e-01    1.54715065e-01
   9.80000000e-01    2.15814072e-01
   9.90000000e-01    3.01056392e-01
   1.00000000e+00    4.19986548e-01
End of Xyce(TM) Simulation
