      V(1)              I(D1)      
   0.00000000e+00    0.00000000e+00
   1.00000000e-02    1.05418918e-14
   2.00000000e-02    2.12982879e-14
   3.00000000e-02    3.23540982e-14
   4.00000000e-02    4.38278440e-14
   5.00000000e-02    5.58849622e-14
   6.00000000e-02    6.87563768e-14
   7.00000000e-02    8.27644215e-14
   8.00000000e-02    9.83590239e-14
   9.00000000e-02    1.16168212e-13
   1.00000000e-01    1.37068615e-13
   1.10000000e-01    1.62283869e-13
   1.20000000e-01    1.93521978e-13
   1.30000000e-01    2.33167051e-13
   1.40000000e-01    2.84546927e-13
   1.50000000e-01    3.52306749e-13
   1.60000000e-01    4.42930409e-13
   1.70000000e-01    5.65468402e-13
   1.80000000e-01    7.32553804e-13
   1.90000000e-01    9.61820406e-13
   2.00000000e-01    1.27788222e-12
   2.10000000e-01    1.71509655e-12
   2.20000000e-01    2.32142079e-12
   2.30000000e-01    3.16379599e-12
   2.40000000e-01    4.33566131e-12
   2.50000000e-01    5.96744322e-12
   2.60000000e-01    8.24119659e-12
   2.70000000e-01    1.14110415e-11
   2.80000000e-01    1.58316899e-11
   2.90000000e-01    2.19982637e-11
   3.00000000e-01    3.06018759e-11
   3.10000000e-01    4.26072118e-11
   3.20000000e-01    5.93608208e-11
   3.30000000e-01    8.27422750e-11
   3.40000000e-01    1.15375162e-10
   3.50000000e-01    1.60921600e-10
   3.60000000e-01    2.24493331e-10
   3.70000000e-01    3.13225546e-10
   3.80000000e-01    4.37077854e-10
   3.90000000e-01    6.09952308e-10
   4.00000000e-01    8.51253994e-10
   4.10000000e-01    1.18806937e-09
   4.20000000e-01    1.65820690e-09
   4.30000000e-01    2.31444125e-09
   4.40000000e-01    3.23043759e-09
   4.50000000e-01    4.50902098e-09
   4.60000000e-01    6.29371905e-09
   4.70000000e-01    8.78487391e-09
   4.80000000e-01    1.22621317e-08
   4.90000000e-01    1.71158347e-08
   5.00000000e-01    2.38908395e-08
   5.10000000e-01    3.33476804e-08
   5.20000000e-01    4.65479443e-08
   5.30000000e-01    6.49734400e-08
   5.40000000e-01    9.06925404e-08
   5.50000000e-01    1.26592370e-07
   5.60000000e-01    1.76702902e-07
   5.70000000e-01    2.46649347e-07
   5.80000000e-01    3.44283619e-07
   5.90000000e-01    4.80565758e-07
   6.00000000e-01    6.70794261e-07
   6.10000000e-01    9.36323436e-07
   6.20000000e-01    1.30696055e-06
   6.30000000e-01    1.82431186e-06
   6.40000000e-01    2.54645322e-06
   6.50000000e-01    3.55444937e-06
   6.60000000e-01    4.96145403e-06
   6.70000000e-01    6.92541202e-06
   6.80000000e-01    9.66678958e-06
   6.90000000e-01    1.34933230e-05
   7.00000000e-01    1.88345640e-05
   7.10000000e-01    2.62900994e-05
   7.20000000e-01    3.66968583e-05
   7.30000000e-01    5.12230629e-05
   7.40000000e-01    7.14993679e-05
   7.50000000e-01    9.98019120e-05
   7.60000000e-01    1.39307828e-04
   7.70000000e-01    1.94451896e-04
   7.80000000e-01    2.71424372e-04
   7.90000000e-01    3.78865885e-04
   8.00000000e-01    5.28837400e-04
   8.10000000e-01    7.38174132e-04
   8.20000000e-01    1.03037540e-03
   8.30000000e-01    1.43824258e-03
   8.40000000e-01    2.00756125e-03
   8.50000000e-01    2.80224088e-03
   8.60000000e-01    3.91148910e-03
   8.70000000e-01    5.45982578e-03
   8.80000000e-01    7.62106113e-03
   8.90000000e-01    1.06378070e-02
   9.00000000e-01    1.48487114e-02
   9.10000000e-01    2.07264740e-02
   9.20000000e-01    2.89309095e-02
   9.30000000e-01    4.03830157e-02
   9.40000000e-01    5.63683611e-02
   9.50000000e-01    7.86813982e-02
   9.60000000e-01    1.09826901e-01
   9.70000000e-01    1.53301142e-01
   9.80000000e-01    2.13984369e-01
   9.90000000e-01    2.98688644e-01
   1.00000000e+00    4.16922536e-01
End of Xyce(TM) Simulation
