      V(2)             I(VOUT)     
   0.00000000e+00   -1.16571435e-25
   1.00000000e+00    2.51958310e-05
   2.00000000e+00    2.76024881e-04
   3.00000000e+00    2.97379194e-04
   4.00000000e+00    2.97515748e-04
   5.00000000e+00    2.97644754e-04
   6.00000000e+00    2.97767137e-04
   7.00000000e+00    2.97883423e-04
   8.00000000e+00    2.97994081e-04
   9.00000000e+00    2.98099532e-04
   1.00000000e+01    2.98200153e-04
   1.10000000e+01    2.98296282e-04
   1.20000000e+01    2.98388226e-04
   1.30000000e+01    2.98476264e-04
   1.40000000e+01    2.98560648e-04
   1.50000000e+01    2.98641607e-04
   1.60000000e+01    2.98719353e-04
   1.70000000e+01    2.98794077e-04
   1.80000000e+01    2.98865956e-04
   1.90000000e+01    2.98935152e-04
   2.00000000e+01    2.99001816e-04
   2.10000000e+01    2.99066084e-04
   2.20000000e+01    2.99128085e-04
   2.30000000e+01    2.99187937e-04
   2.40000000e+01    2.99245750e-04
   2.50000000e+01    2.99301626e-04
   2.60000000e+01    2.99355660e-04
   2.70000000e+01    2.99407941e-04
   2.80000000e+01    2.99458552e-04
   2.90000000e+01    2.99507569e-04
   3.00000000e+01    2.99555066e-04
End of Xyce(TM) Simulation
